2139   ℹ  INFORMATION SOURCE
23EB   ⏫  BLACK UP-POINTING DOUBLE TRIANGLE
23EC   ⏬  BLACK DOWN-POINTING DOUBLE TRIANGLE
23F0   ⏰  ALARM CLOCK
23F3   ⏳  HOURGLASS WITH FLOWING SAND
26C5   ⛅  SUN BEHIND CLOUD
26D4   ⛔  NO ENTRY
2705   ✅  WHITE HEAVY CHECK MARK
2753   ❓  BLACK QUESTION MARK ORNAMENT
2757   ❗  HEAVY EXCLAMATION MARK SYMBOL
27B0   ➰  CURLY LOOP
1F0CF  🃏  PLAYING CARD BLACK JOKER
1F191  🆑  SQUARED CL
1F193  🆓  SQUARED FREE
1F196  🆖  SQUARED NG
1F198  🆘  SQUARED SOS
1F301  🌁  FOGGY
1F309  🌉  BRIDGE AT NIGHT
1F30B  🌋  VOLCANO
1F30C  🌌  MILKY WAY
1F30D  🌍  EARTH GLOBE EUROPE-AFRICA
1F30E  🌎  EARTH GLOBE AMERICAS
1F30F  🌏  EARTH GLOBE ASIA-AUSTRALIA
1F310  🌐  GLOBE WITH MERIDIANS
1F312  🌒  WAXING CRESCENT MOON SYMBOL
1F313  🌓  FIRST QUARTER MOON SYMBOL
1F314  🌔  WAXING GIBBOUS MOON SYMBOL
1F315  🌕  FULL MOON SYMBOL
1F316  🌖  WANING GIBBOUS MOON SYMBOL
1F317  🌗  LAST QUARTER MOON SYMBOL
1F318  🌘  WANING CRESCENT MOON SYMBOL
1F31A  🌚  NEW MOON WITH FACE
1F31B  🌛  FIRST QUARTER MOON WITH FACE
1F31C  🌜  LAST QUARTER MOON WITH FACE
1F31D  🌝  FULL MOON WITH FACE
1F31E  🌞  SUN WITH FACE
1F320  🌠  SHOOTING STAR
1F330  🌰  CHESTNUT
1F331  🌱  SEEDLING
1F332  🌲  EVERGREEN TREE
1F333  🌳  DECIDUOUS TREE
1F33C  🌼  BLOSSOM
1F33D  🌽  EAR OF MAIZE
1F33F  🌿  HERB
1F344  🍄  MUSHROOM
1F347  🍇  GRAPES
1F348  🍈  MELON
1F34B  🍋  LEMON
1F34C  🍌  BANANA
1F34D  🍍  PINEAPPLE
1F34F  🍏  GREEN APPLE
1F350  🍐  PEAR
1F351  🍑  PEACH
1F352  🍒  CHERRIES
1F355  🍕  SLICE OF PIZZA
1F356  🍖  MEAT ON BONE
1F357  🍗  POULTRY LEG
1F360  🍠  ROASTED SWEET POTATO
1F364  🍤  FRIED SHRIMP
1F365  🍥  FISH CAKE WITH SWIRL DESIGN
1F368  🍨  ICE CREAM
1F369  🍩  DOUGHNUT
1F36A  🍪  COOKIE
1F36B  🍫  CHOCOLATE BAR
1F36C  🍬  CANDY
1F36D  🍭  LOLLIPOP
1F36E  🍮  CUSTARD
1F36F  🍯  HONEY POT
